0.010248,0.000107
0.039239,0.006493
0.079827,0.033009
0.121188,0.085515
0.149361,0.144944
0.172918,0.222389
0.187768,0.297008
0.196669,0.365169
0.201765,0.419919
0.208075,0.463053
0.227526,0.513548
0.268648,0.563433
0.322853,0.600838
0.396707,0.628892
0.467203,0.640523
0.533338,0.642142
0.594244,0.637721
0.662303,0.628750
0.721729,0.620252
0.792887,0.611594
0.851850,0.606696
0.910996,0.604215
0.966252,0.604152
1.013092,0.605617
1.061391,0.608274
1.112359,0.611683
1.170827,0.615304
1.239379,0.618540
1.308155,0.620538
1.365570,0.621311
1.430218,0.621304
1.477916,0.620808
1.524351,0.620020
1.563986,0.618464
1.604337,0.610175
1.649691,0.586258
1.696291,0.538435
1.729312,0.479151
1.752706,0.405142
1.762898,0.334707
1.764916,0.270114
1.762394,0.213205
1.761168,0.171175
1.769461,0.128264
1.808386,0.064425
1.867933,0.017576
1.947052,-0.015164
2.019925,-0.029810
2.090438,-0.034256
2.156141,-0.031979
2.223721,-0.025905
2.288831,-0.019102
2.351509,-0.013590
2.409372,-0.010336
2.466263,-0.009270
2.514109,-0.010105
2.559829,-0.012230
2.607357,-0.015488
2.644612,-0.019857
2.684711,-0.032678
2.731416,-0.063909
2.774271,-0.115090
2.806849,-0.180470
2.826244,-0.246735
2.836079,-0.312914
2.838705,-0.385893
2.836896,-0.436969
2.838964,-0.484379
2.856340,-0.533808
2.902143,-0.588285
2.964104,-0.627110
3.042360,-0.653393
3.116524,-0.665039
3.182420,-0.667404
3.247805,-0.664260
3.310386,-0.658407
3.370488,-0.652360
3.428086,-0.647541
3.484297,-0.644472
3.536880,-0.643413
3.587152,-0.644131
3.636765,-0.646370
3.677904,-0.649084
3.723569,-0.652655
3.778038,-0.656762
3.838939,-0.660610
3.902468,-0.663637
3.962095,-0.665550
4.024871,-0.666662
4.077392,-0.666970
4.124118,-0.666852
4.170260,-0.666454
4.212175,-0.661949
4.255264,-0.646433
4.302930,-0.611340
4.342639,-0.560484
4.371801,-0.496919
4.388972,-0.430685
4.397047,-0.357352
